timestamp,emotion,confidence,posture,state
2026-05-20 14:44:54.268990,Sadness,30.47,Disengaged,Slouched
2026-05-20 14:44:54.483046,Sadness,33.74,Disengaged,Slouched
2026-05-20 14:44:54.688097,Sadness,31.66,Disengaged,Slouched
2026-05-20 14:44:54.885150,Sadness,35.22,Disengaged,Slouched
2026-05-20 14:44:55.060235,Sadness,26.9,Disengaged,Slouched
2026-05-20 14:44:55.249285,Sadness,28.64,Disengaged,Slouched
2026-05-20 14:44:55.449862,Sadness,25.67,Disengaged,Slouched
2026-05-20 14:44:55.627901,Sadness,23.38,Disengaged,Slouched
2026-05-20 14:44:55.798942,Sadness,27.98,Disengaged,Slouched
2026-05-20 14:44:55.979993,Sadness,26.42,Disengaged,Slouched
2026-05-20 14:44:56.167039,Sadness,28.83,Disengaged,Slouched
2026-05-20 14:44:56.354083,Sadness,29.12,Disengaged,Slouched
2026-05-20 14:44:56.559139,Sadness,33.21,Disengaged,Slouched
2026-05-20 14:44:56.963236,Sadness,30.84,Disengaged,Slouched
2026-05-20 14:44:57.257313,Sadness,33.78,Disengaged,Slouched
2026-05-20 14:44:57.862464,Sadness,34.66,Disengaged,Slouched
2026-05-20 14:45:00.332078,Sadness,34.79,Disengaged,Slouched
2026-05-20 14:45:00.792199,Sadness,32.78,Disengaged,Slouched
2026-05-20 14:45:01.225308,Sadness,30.21,Disengaged,Slouched
2026-05-20 14:45:05.912523,Sadness,31.37,Disengaged,Slouched
2026-05-20 14:45:06.188634,Sadness,32.18,Disengaged,Slouched
2026-05-20 14:45:06.442699,Sadness,32.24,Disengaged,Slouched
2026-05-20 14:45:06.699758,Sadness,29.68,Disengaged,Slouched
2026-05-20 14:45:08.120161,Sadness,37.28,Disengaged,Slouched
2026-05-20 14:45:09.077444,Sadness,40.04,Disengaged,Slouched
2026-05-20 14:45:09.913652,Sadness,34.94,Disengaged,Slouched
2026-05-20 14:45:10.791391,Sadness,31.81,Disengaged,Slouched
2026-05-20 14:45:11.371606,Sadness,29.46,Disengaged,Slouched
2026-05-20 14:45:11.980757,Sadness,28.4,Disengaged,Slouched
2026-05-20 14:45:12.482889,Sadness,30.59,Disengaged,Slouched
2026-05-20 14:45:12.774033,Sadness,31.71,Disengaged,Slouched
2026-05-20 14:45:13.065159,Sadness,33.18,Disengaged,Slouched
2026-05-20 14:45:13.324265,Sadness,32.89,Disengaged,Slouched
2026-05-20 14:45:13.638343,Sadness,32.29,Disengaged,Slouched
2026-05-20 14:45:13.954423,Sadness,30.99,Disengaged,Slouched
2026-05-20 14:45:14.514563,Sadness,31.93,Disengaged,Slouched
2026-05-20 14:45:15.341771,Sadness,29.82,Disengaged,Slouched
2026-05-20 14:45:15.936915,Sadness,28.83,Disengaged,Slouched
2026-05-20 14:45:16.252000,Sadness,27.52,Disengaged,Slouched
2026-05-20 14:45:16.753119,Sadness,28.86,Disengaged,Slouched
2026-05-20 14:45:17.619339,Sadness,28.73,Disengaged,Slouched
2026-05-20 14:45:17.937419,Sadness,28.05,Disengaged,Slouched
2026-05-20 14:45:18.156472,Sadness,26.79,Disengaged,Slouched
2026-05-20 14:45:18.486556,Sadness,28.91,Disengaged,Slouched
2026-05-20 14:45:18.775632,Sadness,28.15,Disengaged,Slouched
2026-05-20 14:45:19.081707,Sadness,27.4,Disengaged,Slouched
2026-05-20 14:45:19.438797,Sadness,28.09,Disengaged,Slouched
2026-05-20 14:45:19.690859,Sadness,27.37,Disengaged,Slouched
2026-05-20 14:45:19.921917,Sadness,28.36,Disengaged,Slouched
2026-05-20 14:45:20.164975,Sadness,28.86,Disengaged,Slouched
2026-05-20 14:45:20.404036,Sadness,34.17,Disengaged,Slouched
2026-05-20 14:45:20.694147,Sadness,33.16,Disengaged,Slouched
2026-05-20 14:45:20.949210,Sadness,34.95,Disengaged,Slouched
2026-05-20 14:45:21.191295,Sadness,33.66,Disengaged,Slouched
2026-05-20 14:45:21.394323,Sadness,37.77,Disengaged,Slouched
2026-05-20 14:45:21.653391,Sadness,37.03,Disengaged,Slouched
2026-05-20 14:45:21.874466,Sadness,35.21,Disengaged,Slouched
2026-05-20 14:45:22.062489,Sadness,36.1,Disengaged,Slouched
2026-05-20 14:45:22.338561,Sadness,32.76,Disengaged,Slouched
2026-05-20 14:45:22.578617,Sadness,34.86,Disengaged,Slouched
2026-05-20 14:45:22.820680,Sadness,33.37,Disengaged,Slouched
2026-05-20 14:45:23.043735,Sadness,36.95,Disengaged,Slouched
2026-05-20 14:45:23.299801,Sadness,59.16,Disengaged,Slouched
2026-05-20 14:45:23.526857,Sadness,60.68,Disengaged,Slouched
2026-05-20 14:45:23.714906,Sadness,63.56,Disengaged,Slouched
2026-05-20 14:45:23.970971,Sadness,57.92,Disengaged,Slouched
2026-05-20 14:45:24.204026,Sadness,35.59,Disengaged,Slouched
2026-05-20 14:45:24.433089,Sadness,40.65,Disengaged,Slouched
2026-05-20 14:45:24.708158,Sadness,33.21,Disengaged,Slouched
2026-05-20 14:45:25.053242,Sadness,33.87,Disengaged,Slouched
2026-05-20 14:45:25.937464,Sadness,34.55,Disengaged,Slouched
2026-05-20 14:45:26.826683,Sadness,33.69,Disengaged,Slouched
